Nombre Estado,POBTOT
AGUASCALIENTES,1425607
BAJA CALIFORNIA,3769020
BAJA CALIFORNIA SUR,798447
CAMPECHE,928363
CHIAPAS,5543828
CHIHUAHUA,3741869
CIUDAD DE MEXICO,9209944
COAHUILA DE ZARAGOZA,3146771
COLIMA,731391
DURANGO,1832650
GUANAJUATO,6166934
GUERRERO,3540685
HIDALGO,3082841
JALISCO,8348151
MICHOACAN DE OCAMPO,4748846
MORELOS,1971520
MEXICO,16992418
NAYARIT,1235456
NUEVO LEON,5784442
OAXACA,4132148
PUEBLA,6583278
QUERETARO,2368467
QUINTANA ROO,1857985
SAN LUIS POTOSI,2822255
SINALOA,3026943
SONORA,2944840
TABASCO,2402598
TAMAULIPAS,3527735
TLAXCALA,1342977
VERACRUZ DE IGNACIO DE LA LLAVE,8062579
YUCATAN,2320898
ZACATECAS,1622138
