Nombre Estado,Nombre Municipio,POBTOT
AGUASCALIENTES,AGUASCALIENTES,948990
AGUASCALIENTES,ASIENTOS,51536
AGUASCALIENTES,CALVILLO,58250
AGUASCALIENTES,COSIO,17000
AGUASCALIENTES,JESUS MARIA,129929
AGUASCALIENTES,PABELLON DE ARTEAGA,47646
AGUASCALIENTES,RINCON DE ROMOS,57369
AGUASCALIENTES,SAN JOSE DE GRACIA,9552
AGUASCALIENTES,TEPEZALA,22485
AGUASCALIENTES,EL LLANO,20853
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,61997
BAJA CALIFORNIA,ENSENADA,443807
BAJA CALIFORNIA,MEXICALI,1049792
BAJA CALIFORNIA,TECATE,108440
BAJA CALIFORNIA,TIJUANA,1922523
BAJA CALIFORNIA,PLAYAS DE ROSARITO,126890
BAJA CALIFORNIA,SAN QUINTIN,117568
BAJA CALIFORNIA SUR,COMONDU,73021
BAJA CALIFORNIA SUR,MULEGE,64022
BAJA CALIFORNIA SUR,LA PAZ,292241
BAJA CALIFORNIA SUR,LOS CABOS,351111
BAJA CALIFORNIA SUR,LORETO,18052
CAMPECHE,CALKINI,59232
CAMPECHE,CAMPECHE,294077
CAMPECHE,CARMEN,248845
CAMPECHE,CHAMPOTON,78170
CAMPECHE,HECELCHAKAN,31917
CAMPECHE,HOPELCHEN,42140
CAMPECHE,PALIZADA,8683
CAMPECHE,TENABO,11452
CAMPECHE,ESCARCEGA,59923
CAMPECHE,CALAKMUL,31714
CAMPECHE,CANDELARIA,46913
CAMPECHE,SEYBAPLAYA,15297
CHIAPAS,ACACOYAGUA,17994
CHIAPAS,ACALA,21187
CHIAPAS,ACAPETAHUA,26899
CHIAPAS,ALTAMIRANO,36160
CHIAPAS,AMATAN,24512
CHIAPAS,AMATENANGO DE LA FRONTERA,31735
CHIAPAS,AMATENANGO DEL VALLE,11283
CHIAPAS,ANGEL ALBINO CORZO,31947
CHIAPAS,ARRIAGA,41135
CHIAPAS,BEJUCAL DE OCAMPO,7365
CHIAPAS,BELLA VISTA,20157
CHIAPAS,BERRIOZABAL,64632
CHIAPAS,BOCHIL,37263
CHIAPAS,EL BOSQUE,24273
CHIAPAS,CACAHOATAN,50112
CHIAPAS,CATAZAJA,17619
CHIAPAS,CINTALAPA,88106
CHIAPAS,COAPILLA,9900
CHIAPAS,COMITAN DE DOMINGUEZ,166178
CHIAPAS,LA CONCORDIA,49920
CHIAPAS,COPAINALA,22192
CHIAPAS,CHALCHIHUITAN,21915
CHIAPAS,CHAMULA,101967
CHIAPAS,CHANAL,13678
CHIAPAS,CHAPULTENANGO,7472
CHIAPAS,CHENALHO,47371
CHIAPAS,CHIAPA DE CORZO,112075
CHIAPAS,CHIAPILLA,6156
CHIAPAS,CHICOASEN,5402
CHIAPAS,CHICOMUSELO,36785
CHIAPAS,CHILON,137262
CHIAPAS,ESCUINTLA,30896
CHIAPAS,FRANCISCO LEON,7245
CHIAPAS,FRONTERA COMALAPA,80897
CHIAPAS,FRONTERA HIDALGO,14556
CHIAPAS,LA GRANDEZA,7701
CHIAPAS,HUEHUETAN,36333
CHIAPAS,HUIXTAN,22975
CHIAPAS,HUITIUPAN,27893
CHIAPAS,HUIXTLA,53242
CHIAPAS,LA INDEPENDENCIA,46409
CHIAPAS,IXHUATAN,11377
CHIAPAS,IXTACOMITAN,10961
CHIAPAS,IXTAPA,28999
CHIAPAS,IXTAPANGAJOYA,6284
CHIAPAS,JIQUIPILAS,41063
CHIAPAS,JITOTOL,24966
CHIAPAS,JUAREZ,21807
CHIAPAS,LARRAINZAR,31259
CHIAPAS,LA LIBERTAD,5232
